,formattedAddress,servesBeer,servesWine,location.latitude,location.longitude,displayName.text,displayName.languageCode
0,"6 Marsden Road, Paihia 0200, New Zealand",True,True,-35.285209099999996,174.0963466,The Blue Door Paihia,en
1,"75 Commerce Street, Kaitaia 0441, New Zealand",True,True,-35.1145616,173.2644201,Mussel Rock Cafe Bar,en
2,"Cnr Sh 1 & Whangatane Drive, Kaitaia 0482, New Zealand",True,True,-35.0895861,173.25750119999998,Collards Tavern,en
3,"130 Marsden Road, Bay Of Islands, Paihia 0200, New Zealand",,,-35.2790466,174.0869119,Paihia Beach Resort & Spa,en
4,"92 State Highway 1, Awanui 0486, New Zealand",,,-35.0439984,173.2555901,Awanui Rugby Club,en
5,"Golf View Road, Waipapa 0230, New Zealand",,,-35.225570999999995,173.942116,"Bay of Islands Golf Club, Kerikeri, NZ",en
6,"25 The Strand, Russell 0202, New Zealand",,,-35.2620327,174.1216404,Bay of Islands Swordfish Club,en
7,"96 Marsden Road, Paihia 0200, New Zealand",True,True,-35.28096,174.09115599999998,Swordfish Bar & Bistro,en
8,"Waitangi 0293, New Zealand",True,True,-35.2716214,174.08232569999998,Bay of Islands Yacht Club,en
9,"69 Marsden Road, Paihia 0200, New Zealand",True,True,-35.2808041,174.09218550000003,Kindred Spirits Mobile bar,en
10,,,,,,,
11,"308 Kerikeri Road, Kerikeri 0230, New Zealand",True,True,-35.2308333,173.9455556,The Black Olive,en
12,"248 Waipapa Road, Waipapa 0295, New Zealand",True,True,-35.207413599999995,173.93608490000003,Chang Siam Thai Restaurant,en
13,"104 Matai Bay Road, Kaitaia, Karikari Peninsula 0483, New Zealand",,,-34.862209299999996,173.3899078,Karikari Estate,en
14,"104 Matai Bay Road, Kaitaia, Karikari Peninsula 0483, New Zealand",,,-34.862209299999996,173.3899078,Karikari Estate,en
15,"68 Main Road, Moerewa 0211, New Zealand",True,True,-35.3873634,174.0150756,Klondike Tavern,en
16,"68 Main Road, Moerewa 0211, New Zealand",True,True,-35.3873634,174.0150756,Klondike Tavern,en
17,"236 State Highway 10, Coopers Beach 0420, New Zealand",,,-34.9930015,173.5043761,Coopers Beach Combined Bowling Club,en
18,"76 Marsden Road, Paihia 0200, New Zealand",True,True,-35.2814216,174.0913085,"BAD HABITS ""R18 MINORS TO ACCOMPANY LEGAL GUARDIANS""",en
19,"76 Marsden Road, Paihia 0200, New Zealand",True,True,-35.2814216,174.0913085,"BAD HABITS ""R18 MINORS TO ACCOMPANY LEGAL GUARDIANS""",en
20,"130 Commerce Street, Kaitaia 0410, New Zealand",,,-35.1131257,173.2631291,Kaitaia Foodmart,en
21,"8 Marino Place, Kaikohe 0405, New Zealand",,,-35.4090881,173.8007965,New World Kaikohe,en
22,"9 Coopers Drive, Coopers Beach 0420, New Zealand",,,-34.992193,173.509489,Four Square Coopers Beach,en
23,"19 Esplanade, Whitianga 3510, New Zealand",True,True,-36.831665799999996,175.7074049,Stoked Bar & Grill,en
24,"4 Lamb Road, Pukenui 0484, New Zealand",True,True,-34.814953599999996,173.11792169999998,Pukenui Pacific,en
25,"Cnr Kerikeri Road & Butler Avenue, Kerikeri Road, Kerikeri 0230, New Zealand",,,-35.2291677,173.9459019,Woolworths Kerikeri,en
26,"3827 State Highway 1, Towai 0182, New Zealand",True,True,-35.493906,174.1370824,Towai Tavern,en
27,"3827 State Highway 1, Towai 0182, New Zealand",True,True,-35.493906,174.1370824,Towai Tavern,en
28,"504 Kerikeri Road, Kerikeri 0293, New Zealand",True,True,-35.2463386,173.9360104,GREEN'S Kerikeri - Thai Cuisine,en
29,"96 Marsden Road, Paihia 0200, New Zealand",True,True,-35.280961399999995,174.0912059,GREEN'S Paihia - INDIAN Cuisine,en
